MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Nov-15,873,Information  Governance Manager Temp,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Protection Advice
Nov-15,874,Information Architect  ,Finance & Strategic Planning,Wisdom
Nov-15,875,Information Architect  ,Operations ,Wisdom
Nov-15,876,Information Architect  ,Openness Data and Digital,Wisdom
Nov-15,877,Information Architect  ,Operations ,Wisdom
Nov-15,878,Information  Governance Manager Temp,Operations ,Data Sharing
Nov-15,879,Information Management  Team Leader,Science & Policy,Wisdom
Nov-15,880,Information Architect  ,Finance & Strategic Planning,Wisdom
Nov-15,881,Information Architect  ,Science & Policy,Wisdom
Nov-15,882,Information Management  Team Leader,Science & Policy,Email
Nov-15,883,Information Architect  ,Science & Policy,Wisdom
Nov-15,884,Information Architect  ,Finance & Strategic Planning,Wisdom
Nov-15,885,Information Management  Team Leader,Openness Data and Digital,Wisdom
Nov-15,886,Information Management  Team Leader,Regulatory & Legal Strategy,Records Mngt Advice
Nov-15,887,Information Management  Team Leader,Operations ,Data Protection Advice
Nov-15,888,Information Architect  ,Operations ,Wisdom
Nov-15,889,Information Architect  ,Science & Policy,Wisdom
Nov-15,890,Information Architect  ,Operations ,Wisdom
Nov-15,891,Information Architect  ,Operations ,Wisdom
Nov-15,892,Information Architect  ,Private Office,Wisdom
Nov-15,893,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Nov-15,894,Information Architect  ,Science & Policy,FEDS
Nov-15,895,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,896,Information Architect  ,Operations ,Wisdom
Nov-15,897,Information Architect  ,Operations ,Wisdom
Nov-15,898,Information Architect  ,Science & Policy,Wisdom
Nov-15,899,Information Management  Team Leader,Private Office,Wisdom
Nov-15,900,Information Management  Team Leader,Openness Data and Digital,Wisdom
Nov-15,901,Information Management  Team Leader,Openness Data and Digital,Wisdom
Nov-15,902,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,903,Information Management  Team Leader,Openness Data and Digital,Records Mngt Advice
Nov-15,904,Information Management  Team Leader,Operations ,Wisdom
Nov-15,905,Information  Governance Manager Temp,Private Office,Data Protection Advice
Nov-15,906,Information Governance Caseworker ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Sharing
Nov-15,907,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Nov-15,908,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Nov-15,909,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Nov-15,910,Information  Governance Manager Temp,Operations ,Data Protection Advice
Nov-15,911,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Nov-15,912,Information Management  Team Leader,Science & Policy,Email
Nov-15,913,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,914,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,915,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,916,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,917,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Nov-15,918,Information Management  Team Leader,Science & Policy,Wisdom
Nov-15,919,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Nov-15,920,Information Management  Team Leader,Finance & Strategic Planning,Records Mngt Advice
Nov-15,921,Information  Governance Manager Temp,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Sharing
Nov-15,922,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,923,Information Management  Team Leader,Operations ,Wisdom
Nov-15,924,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Nov-15,925,Information  Governance Manager Temp,External - Non-Government,Data Sharing
Nov-15,926,Information  Governance Manager Temp,External - FSA Contractor,Data Sharing
Nov-15,927,Information  Governance Manager Temp,External - FSA Contractor,Data Sharing
Nov-15,928,Information Architect  ,Science & Policy,Wisdom
Nov-15,929,Information  Governance Manager Temp,Science & Policy,Data Sharing
Nov-15,930,Information Management  Team Leader,Science & Policy,Data Protection Advice
Nov-15,931,Information Management  Team Leader,Operations ,Data Protection Advice
Nov-15,932,Information Management  Team Leader,Operations ,Wisdom
Nov-15,933,Information Management  Team Leader,Science & Policy,Wisdom
Nov-15,934,Information  Governance Manager Temp,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Protection Advice
Nov-15,935,Information Architect  ,Science & Policy,Wisdom
Nov-15,936,Information Architect  ,External - Other Government Dept,Wisdom
Nov-15,937,Information Architect  ,Openness Data and Digital,Wisdom
Nov-15,938,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Nov-15,939,Information Architect  ,Private Office,Wisdom
Nov-15,940,Information Architect  ,Operations ,Wisdom
Dec-15,941,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,942,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,943,Information Architect  ,Finance & Strategic Planning,Wisdom
Dec-15,944,Information Architect  ,Openness Data and Digital,Wisdom
Dec-15,945,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,946,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,947,Information  Governance Manager Temp,External - Local Authority,Wisdom
Dec-15,948,Information  Governance Manager Temp,External - Local Authority,Wisdom
Dec-15,949,Information Management  Team Leader,Operations ,Email
Dec-15,950,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Email
Nov-15,951,Information Management  Team Leader,Science & Policy,Wisdom
Nov-15,952,Information Management  Team Leader,Science & Policy,Wisdom
Dec-15,953,Information Management  Team Leader,Finance & Strategic Planning,Records Mngt Advice
Dec-15,954,Information Architect  ,Openness Data and Digital,Wisdom
Dec-15,955,Information Architect  ,Science & Policy,Wisdom
Dec-15,956,Information  Governance Manager Temp,Operations ,Data Protection Advice
Dec-15,957,Information  Governance Manager Temp,External - Non-Government,Data Sharing
Dec-15,958,Information Architect  ,Finance & Strategic Planning,Wisdom
Dec-15,959,Information Management  Team Leader,Science & Policy,Email
Dec-15,960,Information Architect  ,Private Office,Wisdom
Nov-15,961,Information Management  Team Leader,Operations ,Email
Nov-15,962,Information Management  Team Leader,Finance & Strategic Planning,Records Mngt Advice
Dec-15,963,Information Architect  ,Science & Policy,Wisdom
Dec-15,964,Information Architect  ,Operations ,Wisdom
Nov-15,965,Information Management  Team Leader,Private Office,Wisdom
Nov-15,966,Information Governance Caseworker ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Sharing
Nov-15,967,Information Management  Team Leader,Science & Policy,Email
Dec-15,968,Information Architect  ,Finance & Strategic Planning,Wisdom
Dec-15,969,Information Architect  ,Finance & Strategic Planning,Wisdom
Dec-15,970,Information Architect  ,Science & Policy,Wisdom
Dec-15,971,Information Architect  ,Science & Policy,Wisdom
Dec-15,972,Information Architect  ,Science & Policy,Wisdom
Dec-15,973,Information Management  Team Leader,Science & Policy,Wisdom
Dec-15,974,Information Architect  ,Operations ,Wisdom
Dec-15,975,Information Architect  ,Finance & Strategic Planning,Wisdom
Dec-15,976,Information Architect  ,Science & Policy,Wisdom
Dec-15,977,Information Management  Team Leader,Finance & Strategic Planning,Email
Dec-15,978,Information  Governance Manager Temp,Operations ,Data Protection Advice
Dec-15,979,Information Architect  ,Operations ,Wisdom
Dec-15,980,Information Architect  ,External - Other Government Dept,Information Asset Register
Dec-15,981,Information Management  Team Leader,External - FSA Contractor,Email
Dec-15,982,Information  Governance Manager Temp,Science & Policy,Data Sharing
Dec-15,983,Information  Governance Manager Temp,Science & Policy,Data Sharing
Dec-15,984,Information  Governance Manager Temp,Science & Policy,Data Sharing
Dec-15,985,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,986,Information Architect  ,Openness Data and Digital,Wisdom
Dec-15,987,Information Architect  ,Operations ,Wisdom
Dec-15,988,Information Architect  ,Science & Policy,Wisdom
Dec-15,989,Information Architect  ,Science & Policy,Wisdom
Dec-15,990,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,991,Information Architect  ,External - FSA Contractor,Wisdom
Dec-15,992,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Dec-15,993,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Dec-15,994,Information Architect  ,Operations ,Wisdom
Dec-15,995,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Email
Dec-15,996,Information Architect  ,Operations ,Wisdom
Dec-15,997,Information Management  Team Leader,Regulatory & Legal Strategy,wisdom
Dec-15,998,Information Management  Team Leader,Science & Policy,Wisdom
Dec-15,999,Information Architect  ,Private Office,Wisdom
Dec-15,1000,Information Architect  ,Private Office,Wisdom
Dec-15,1001,Information  Governance Manager Temp,Private Office,Data Sharing
Dec-15,1002,Information Architect  ,Science & Policy,Wisdom
Dec-15,1003,Information Management  Team Leader,External - Other Government Dept,Data Sharing
Dec-15,1004,Information Architect  ,Science & Policy,Wisdom
Dec-15,1005,Information Architect  ,External - FSA Contractor,Wisdom
Dec-15,1006,Information Architect  ,Science & Policy,Wisdom
Dec-15,1007,Information Architect  ,Openness Data and Digital,Wisdom
Dec-15,1008,Information Architect  ,Science & Policy,Email
Dec-15,1009,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,1010,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Sharing
Dec-15,1011,Information Architect  ,Science & Policy,Wisdom
Dec-15,1012,Information Architect  ,Science & Policy,Wisdom
Dec-15,1013,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Dec-15,1014,Information  Governance Manager Temp,Operations ,Wisdom
Dec-15,1015,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
